Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Bangladesh,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"1,664.40","1,711.69","1,721.00","1,754.14","1,780.42","1,799.30","1,822.35","1,827.07","1,822.78","1,853.76","1,892.54","1,926.76","1,974.68","2,015.87","2,062.24","2,114.98","2,164.69","2,222.07","2,283.40","2,349.31","2,423.29","2,483.59","2,543.54","2,624.76","2,735.19","2,872.91","3,029.24","3,187.35","3,324.84","3,462.66","3,630.40","3,822.17","4,014.78","4,208.23","4,423.11","4,673.24","4,938.83","5,226.65","5,565.68","5,815.38","6,058.06","6,411.43","6,786.01",2020
Bangladesh,Total investment,Percent of GDP,,n/a,18.592,19.139,18.149,17.091,17.546,17.763,16.77,16.905,17.028,17.257,17.332,17.673,18.653,19.125,19.941,21.123,22.185,22.527,23.127,24.219,24.609,24.81,25.178,25.499,26.357,26.678,26.737,26.791,26.805,26.828,28.01,28.852,28.939,29.137,29.442,30.24,30.947,31.823,32.214,31.308,31.019,31.683,2022
Bangladesh,Gross national savings,Percent of GDP,,n/a,20.588,20.693,19.689,18.951,19.711,19.999,19.1,19.213,20.049,20.589,22.465,22.016,20.636,21.427,21.891,22.881,23.871,24.37,24.674,26.344,26.3,27.125,27.148,27.91,27.721,29.199,29.155,28.87,29.703,30.469,29.972,30.87,31.535,30.45,30.285,32.112,30.708,30.61,31.138,31.418,30.794,25.568,2022
Bangladesh,"Inflation, average consumer prices",Index,,14.677,16.869,19.172,21.301,23.429,25.875,28.544,31.546,34.77,37.963,41.632,45.524,48.193,49.781,52.065,56.676,60.552,62.163,66.301,72.204,74.82,76.176,78.009,81.036,87.632,93.316,100,107.205,117.858,125.701,134.897,146.751,159.795,170.624,183.164,194.896,206.427,217.657,230.243,242.848,256.563,270.822,287.477,2022
Bangladesh,Volume of imports of goods and services,Percent change,,24.832,16.823,4.138,-3.273,0.032,1.466,-0.997,3.88,15.23,17.6,4.772,-3.982,4.62,10.073,14.988,18.746,7.936,1.834,13.169,-5.178,7.606,16.593,-8.914,9.121,4.115,11.481,9.058,11.609,17.755,8.811,1.378,40.681,-0.649,4.252,12.005,7.432,11.766,7.153,20.605,4.278,-3.395,6.105,20.284,2022
Bangladesh,Volume of exports of goods and services,Percent change,,11.2,24.015,19.6,8.798,-1.721,-4.942,15.455,25.927,10.942,11.478,14.358,10.195,15.709,14.584,14.75,11.755,10.203,27.097,14.341,6.704,5.089,13.523,-3.537,5.496,7.317,10.929,17.962,11.543,11.803,10.376,5.363,28.833,3.463,13.495,12.414,5.858,15.457,1.742,6.302,14.012,-14.204,6.95,21.463,2022
Bangladesh,Population,Persons,Millions,79.639,81.768,83.932,86.142,88.417,90.764,93.188,95.671,98.186,100.695,103.172,105.599,107.984,110.351,112.738,115.17,117.65,120.161,122.683,125.19,127.658,130.089,132.478,134.792,136.986,139.036,140.921,142.66,144.304,145.925,147.575,149.274,151.008,152.765,154.52,156.256,157.971,159.671,161.356,163.046,164.689,166.657,168.52,2020
Bangladesh,General government revenue,National currency,Billions,19.4,22.5,24.4,27,32.265,39.105,45.14,50.65,56.65,64.455,123.311,140.666,149.668,174.338,186.73,210.42,176.937,196.136,207.251,215.802,233.515,254.436,303.1,341.915,352.491,402.341,461.046,511.274,615.66,666.9,799.44,940.16,"1,155.17","1,325.73","1,469.42","1,491.39","1,751.59","1,875.29","2,344.15","2,403.63","2,684.68","3,304.92","3,822.78",2021
Bangladesh,General government total expenditure,National currency,Billions,42.2,45.35,52.35,59.225,63.27,71.68,85.235,94.45,101.95,116.973,125.413,133.98,143.85,167.032,186.136,218.28,222.776,244.024,266.964,255.656,313.789,374.46,389.872,423.61,453.857,525.03,585.13,634.03,869.06,893.23,"1,012.81","1,265.40","1,478.26","1,736.02","1,890.97","2,088.74","2,408.15","2,843.83","3,417.92","3,999.83","4,219.33","4,577.68","5,850.78",2021
Bangladesh,General government net lending/borrowing,National currency,Billions,-22.8,-22.85,-27.95,-32.225,-31.005,-32.575,-40.095,-43.8,-45.3,-52.518,-2.102,6.686,5.818,7.306,0.594,-7.86,-45.839,-47.887,-59.713,-39.855,-80.274,-120.024,-86.772,-81.695,-101.366,-122.689,-124.084,-122.756,-253.4,-226.33,-213.37,-325.24,-323.086,-410.295,-421.548,-597.352,-656.564,-968.542,"-1,073.77","-1,596.20","-1,534.65","-1,272.76","-2,028.00",2021
